date,from,to,text
2004-11-07T16:45:00.000Z,Matt|,ogra,"hmm. if i don't set to default, do you think it will still solve the mp3 tag problem?"
2004-11-07T16:47:00.000Z,ogra,Matt|,if you encode now in utf your sys doesnt know how to handle this....if it's capable of utf its more likely to work
2004-11-07T16:48:00.000Z,Matt|,ogra,i guess if it doesn't work i can set grip to tag the mp3's with ISO
2004-11-09T16:18:00.000Z,Matt|,ogra,did i do something wrong? ;)
2004-11-09T16:19:00.000Z,ogra,Matt|,"no, but i asked lamont last if it wouldnt be better to have anonymous builddirs ;)"
2004-11-09T16:20:00.000Z,Matt|,ogra,"lamont, just slap me down if i'm being annoying"
2004-11-09T16:20:00.000Z,Matt|,ogra,i just asked on the off chance
2004-11-09T16:20:00.000Z,ogra,Matt|,because i thought he'd get this kind of questions.....
2004-11-09T16:20:00.000Z,Matt|,ogra,"if you made the suggestion, you must have thought that those kind of questions are bad in some way. Hence, i DID do something wrong ;)"
2004-11-09T16:21:00.000Z,ogra,Matt|,i dont think he's annoyed by your questions ;) its just the way its set up so he'll  bear them.....
2004-11-09T16:22:00.000Z,Matt|,ogra,oh i c
2004-11-09T16:22:00.000Z,Matt|,ogra,so the name does not mean that he knows the answer
2004-11-09T16:23:00.000Z,ogra,Matt|,he is just the guy who runs the mass builds... you could try to find the debian maintainer of the pkg to help you out if he doesnt mind
2004-11-09T16:30:00.000Z,Matt|,ogra,you still there?
2004-11-10T17:19:00.000Z,Matt|,ogra,yeah that is a nice touch
2004-11-10T17:20:00.000Z,ogra,Matt|,no 1.0 in warty
2004-11-10T06:12:00.000Z,Matt|,ogra,what was asked about linux virii?
2004-11-10T09:39:00.000Z,Matt|,ogra,I have to wait until april for a newer version of X?
2004-11-10T09:40:00.000Z,Matt|,ogra,it wouldn't be if the warty packages weren't frozen ;)
2004-11-10T09:40:00.000Z,ogra,Matt|,"not frozen, stable...."
2004-11-10T09:40:00.000Z,Matt|,ogra,so I can get a newer version of X11?
2004-11-10T09:41:00.000Z,ogra,Matt|,"nope... only in Hoary, but security updates for 18 months"
2004-11-10T09:41:00.000Z,Matt|,ogra,i need to Hoary asap methinks
2004-11-10T09:41:00.000Z,Matt|,ogra,how to get a testing version?
2004-11-10T09:42:00.000Z,ogra,Matt|,do that only if you got a spare machine to run it on
2004-11-10T09:42:00.000Z,ogra,Matt|,Hoary is supposed to break in the dev process....its a devlopment version....
2004-11-10T09:43:00.000Z,Matt|,ogra,np
2004-11-10T09:43:00.000Z,ogra,Matt|,till april ;)
2004-11-10T09:43:00.000Z,Matt|,ogra,is there any chance of getting hoary packages to install on warty? I used to use fedora testing packages all the time
2004-11-10T09:43:00.000Z,Matt|,ogra,i am happy to install a testing OS
2004-11-10T09:44:00.000Z,ogra,Matt|,"go on, but dont mix the dists.... if you switch to hoary do it completely and dont cry if nothing works anymore"
2004-11-10T09:44:00.000Z,Matt|,ogra,hmm no i won't cry: but the dists can't be mixed? How come?
2004-11-10T09:45:00.000Z,Matt|,ogra,didn't you start from warty when making hoary?
2004-11-10T09:45:00.000Z,ogra,Matt|,"they can, but youre on your own, nobody will support taht"
2004-11-10T09:45:00.000Z,Matt|,ogra,sure
2004-11-10T09:45:00.000Z,Matt|,ogra,mebbe i can get dri working on warty without updating to a newer version of X11?
2004-11-10T09:46:00.000Z,ogra,Matt|,depends....
2004-11-10T09:46:00.000Z,Matt|,ogra,what does it depend on? ;)
2004-11-10T09:46:00.000Z,ogra,Matt|,what card ?
2004-11-10T09:47:00.000Z,Matt|,ogra,it is an onboard ATI (radeon) IGP340M
2004-11-10T09:50:00.000Z,ogra,Matt|,"you could try fglrx, same url...."
2004-11-10T09:50:00.000Z,ogra,Matt|,but no guarantee.... except its radeon compatible....
2004-11-10T09:51:00.000Z,Matt|,ogra,am not hopeful ;)
2004-11-10T09:51:00.000Z,Matt|,ogra,have always just recompiled the dri modules in the past
2004-11-10T09:52:00.000Z,ogra,Matt|,its all in synaptic ;)
2004-11-11T16:43:00.000Z,ogra,Matt|,10 devs !
2004-11-11T16:56:00.000Z,ogra,Matt|,"hey, you got us :)"
2004-11-11T16:57:00.000Z,ogra,Matt|,"if i got it myself to verify, yes.... but i'll wait till y.org is likely working"
2004-11-11T16:57:00.000Z,Matt|,ogra,yeah guess so
2004-11-12T09:55:00.000Z,ogra,Matt|," no, nobody around here ;)"
2004-11-12T09:55:00.000Z,Matt|,ogra,man you work 24 hours huh
2004-11-12T09:55:00.000Z,ogra,Matt|,only 275 ppl
2004-11-12T09:56:00.000Z,ogra,Matt|,i dont work here ;) just fun
2004-11-12T09:56:00.000Z,Matt|,ogra,really? you are not dev?
2004-11-12T09:56:00.000Z,ogra,Matt|,i whish i were....but no
2004-11-12T09:57:00.000Z,ogra,Matt|,and sice i'm in here i dont get any dev done :(
2004-11-12T09:58:00.000Z,Matt|,ogra,yeah my favourite thing about ubuntu is that the developers are always in here
2004-11-12T10:05:00.000Z,ogra,Matt|,hard to do if noone uses aterm :)
2004-11-12T10:13:00.000Z,ogra,Matt|,use connect to server in nautilus
2004-11-12T10:14:00.000Z,ogra,Matt|,it appears on the desktop
2004-11-12T10:14:00.000Z,ogra,Matt|,btw works great with ssh too
2004-11-12T10:15:00.000Z,Matt|,ogra,oh really
2004-11-12T10:15:00.000Z,Matt|,ogra,fantastic
2004-11-12T10:15:00.000Z,ogra,Matt|,gerat for webserver uploads ;)
2004-11-12T10:15:00.000Z,Matt|,ogra,exactly
2004-11-12T10:16:00.000Z,ogra,Matt|,effects
2004-11-13T17:31:00.000Z,ogra,Matt|,remove/rename index.html
2004-11-13T17:31:00.000Z,Matt|,ogra,i believe that it doesn't permit directory listing where there is no index file
2004-11-13T17:32:00.000Z,ogra,Matt|,by default it sould
2004-11-13T17:32:00.000Z,Matt|,ogra,Forbidden
2004-11-13T17:33:00.000Z,ogra,Matt|,images is a special case
2004-11-13T17:33:00.000Z,Matt|,ogra,Forbidden
2004-11-13T17:33:00.000Z,ogra,Matt|,"create a dir under /var/www, you can list files in there"
2004-11-15T15:45:00.000Z,Matt|,ogra,so slow
2004-11-15T15:49:00.000Z,ogra,Matt|,http://www.grawert.net/MrBurns.png
2004-11-15T15:50:00.000Z,Matt|,ogra,don't get it :(
2004-11-15T15:51:00.000Z,ogra,Matt|,strange i see it....
2004-11-15T15:51:00.000Z,Matt|,ogra,i see it ok... what does it mean?
2004-11-15T15:52:00.000Z,ogra,Matt|,ogg/mp3 burner
2004-11-15T15:52:00.000Z,Matt|,ogra,you wrote it?
2004-11-15T15:52:00.000Z,ogra,Matt|,"i'm just writing it, yes...thats why i'm a bit slower currently"
2004-11-16T15:02:00.000Z,ogra,Matt|,;)
2004-11-16T15:02:00.000Z,ogra,Matt|,you will win until i got the burner autodetect working ;)
2004-11-16T15:03:00.000Z,Matt|,ogra,"no, as you know more answers"
2004-11-16T15:03:00.000Z,ogra,Matt|,but i'm inattentive.... good chance ;)
2004-11-18T14:10:00.000Z,Matt|,ogra,he/she wants redhat-artwork
2004-11-18T14:10:00.000Z,ogra,Matt|,ohh .... alien will be his friend ;)
2004-11-18T14:14:00.000Z,Matt|,ogra,ok
2004-11-18T14:33:00.000Z,Matt|,ogra,tell him the answer!
2004-11-19T14:18:00.000Z,Matt|,ogra,i'm with you buddy
2004-11-19T14:18:00.000Z,ogra,Matt|,yay
2004-11-19T14:18:00.000Z,Matt|,ogra,a friend of mine told me his comp-science professor at university called him into his room to show him evolution
2004-11-19T14:19:00.000Z,Matt|,ogra,as he really liked it
2004-11-19T15:37:00.000Z,Matt|,ogra,the slow burning is a known issue?
2004-11-19T15:37:00.000Z,ogra,Matt|,yep
2004-11-19T15:37:00.000Z,Matt|,ogra,4x?
2004-11-19T15:38:00.000Z,ogra,Matt|,but seems safe.... you can test though
2004-11-19T15:38:00.000Z,Matt|,ogra,i think i burnt mine at 24
2004-11-19T15:41:00.000Z,Matt|,ogra,your fast
2004-11-19T15:41:00.000Z,ogra,Matt|,trained......
2004-11-19T15:41:00.000Z,ogra,Matt|,and took a day off from MrBurns ;)
2004-11-19T15:42:00.000Z,Matt|,ogra,how is it going?
2004-11-19T15:42:00.000Z,ogra,Matt|,works...waiting for test reports *g*
2004-11-19T15:42:00.000Z,Matt|,ogra,send it over
2004-11-19T15:43:00.000Z,Matt|,ogra,nice name
2004-11-19T15:48:00.000Z,Matt|,ogra,"not to be a party pooper, but your ubuntu build of mrburns has a fatal flaw"
2004-11-19T15:48:00.000Z,ogra,Matt|,tell me
2004-11-19T15:48:00.000Z,Matt|,ogra,where's the goddam gnome menu entry???!
2004-11-19T15:49:00.000Z,ogra,Matt|,Multimedia ;)
2004-11-19T15:49:00.000Z,Matt|,ogra,not in mine
2004-11-19T15:50:00.000Z,ogra,Matt|,"it should be there.... grmpf....probably after you restart the panel, depends on fam....."
2004-11-19T15:51:00.000Z,Matt|,ogra,erm i think fam has gone now
2004-11-19T15:51:00.000Z,ogra,Matt|,??
2004-11-19T15:51:00.000Z,ogra,Matt|,"ahh, hoary"
2004-11-19T15:51:00.000Z,ogra,Matt|,killall gnome-panel
2004-11-19T15:51:00.000Z,Matt|,ogra,rc  fam            2.7.0-5ubuntu2 File Alteration Monitor
2004-11-19T15:51:00.000Z,Matt|,ogra,went today
2004-11-19T15:52:00.000Z,Matt|,ogra,i will restart the panel later
2004-11-19T15:52:00.000Z,Matt|,ogra,anyhow i think it has detected my drive
2004-11-19T15:52:00.000Z,Matt|,ogra,does it support cdrw ok?
2004-11-19T15:53:00.000Z,ogra,Matt|,"hrmm, no deleting yet"
2004-11-19T15:53:00.000Z,Matt|,ogra,ok i will expend a cd on it
2004-11-19T15:53:00.000Z,Matt|,ogra,what formats?
2004-11-19T15:53:00.000Z,ogra,Matt|,it supports dummy ;)
2004-11-19T15:53:00.000Z,ogra,Matt|,ogg & mp3
2004-11-19T15:53:00.000Z,Matt|,ogra,kewl
2004-11-19T15:53:00.000Z,Matt|,ogra,lovely interface :)
2004-11-19T15:53:00.000Z,Matt|,ogra,is it gnome only?
2004-11-19T15:53:00.000Z,ogra,Matt|,dummy write mode....switches off the laser...
2004-11-19T15:54:00.000Z,ogra,Matt|,"yep, perl in fact"
2004-11-19T15:54:00.000Z,ogra,Matt|,"so no cpu binding, works on any arch ;)"
2004-11-19T16:00:00.000Z,ogra,Matt|,you wouldnt be able ;)  GPL
2004-11-19T16:03:00.000Z,ogra,Matt|,warty isnt supported ??
2004-11-19T16:04:00.000Z,Matt|,ogra,I guess i was thinking of phone support / guaranteed email support etc
2004-11-20T17:28:00.000Z,Matt|,ogra,does the preferences menu in mrburns do anything? do i need files in there for it to work?
2004-11-20T17:28:00.000Z,ogra,Matt|,drag n drop mp3 or ogg files from nautilus
2004-11-20T17:29:00.000Z,Matt|,ogra,preferences menu still does nothing: nothing opens
2004-11-20T17:29:00.000Z,Matt|,ogra,neither the information option
2004-11-20T17:30:00.000Z,ogra,Matt|,"no pref yet.....as i dont know what to put there,,,,,"
2004-11-20T17:30:00.000Z,Matt|,ogra,oh i c. You could put a '2 seconds between tracks' option
2004-11-20T17:30:00.000Z,ogra,Matt|,the window you look for comes if you click the cd
2004-11-20T17:31:00.000Z,Matt|,ogra,huh?
2004-11-20T17:31:00.000Z,ogra,Matt|,the second screenshot i assumed
2004-11-20T17:32:00.000Z,Matt|,ogra,do i need a cd in the drive for the second cd to work?
2004-11-20T17:32:00.000Z,ogra,Matt|,the second CD ?
2004-11-20T17:32:00.000Z,Matt|,ogra,that second cd button you speak of
2004-11-20T17:34:00.000Z,ogra,Matt|,nope... you click on the CD in the first win after you added files to the win.....then you get the options ....
2004-11-20T17:34:00.000Z,Matt|,ogra,i didn't get many options
2004-11-20T17:34:00.000Z,ogra,Matt|,"if you click the cd in the options win, the burning starts"
2004-11-20T17:35:00.000Z,Matt|,ogra,oh ok; i understood you to mean that the 2 second between tracks was in that window
2004-11-20T17:35:00.000Z,ogra,Matt|,will be deleted on reboot.....
2004-11-20T17:35:00.000Z,ogra,Matt|,there is no such option.....
2004-11-20T17:35:00.000Z,Matt|,ogra,/dev links are deleted on reboot?
2004-11-20T17:36:00.000Z,ogra,Matt|,you can configure udev
2004-11-20T17:37:00.000Z,Matt|,ogra,so how do you configure udev?
2004-11-20T17:37:00.000Z,Matt|,ogra,i am used to adding links
2004-11-20T17:38:00.000Z,ogra,Matt|,ls /etc/udev/
2004-11-20T17:38:00.000Z,ogra,Matt|,and have fun....breaking your system *g*
2004-11-20T17:38:00.000Z,Matt|,ogra,actually that would have been a good time to say rtfm
2004-11-20T17:38:00.000Z,Matt|,ogra,you don't trust me
2004-11-20T17:39:00.000Z,ogra,Matt|,i do.... dont ask how often i broke mine whrn udev was new
2004-11-20T17:39:00.000Z,Matt|,ogra,oh well fortunately /dev/cdrom exists ok in my case
2004-11-20T17:39:00.000Z,Matt|,ogra,you know what annoys me with this cd burning technique?
2004-11-20T17:39:00.000Z,ogra,Matt|,i will.... mrburns is just in early state
2004-11-20T17:39:00.000Z,Matt|,ogra,dragging files from nautilus
2004-11-20T17:39:00.000Z,ogra,Matt|,why ?
2004-11-20T17:40:00.000Z,ogra,Matt|,do you use spatial nautilus ?
2004-11-20T17:40:00.000Z,Matt|,ogra,is there anyway to prevent nautilus taking over the screen when i click and hold on files to drag them (i.e. the target window remains active)?
2004-11-20T17:40:00.000Z,ogra,Matt|,"nope, i dont thonk so....."
2004-11-20T17:40:00.000Z,Matt|,ogra,there must be :(
2004-11-20T17:41:00.000Z,ogra,Matt|,non browser mode
2004-11-20T17:41:00.000Z,Matt|,ogra,i use browser
2004-11-20T17:41:00.000Z,ogra,Matt|,"ahh, understand...."
2004-11-20T17:42:00.000Z,ogra,Matt|,if you are used to spatial the burning mehod is just great.....but i will add a load dirctory option in the file menu
2004-11-20T17:42:00.000Z,Matt|,ogra,oh that would be kewl. i'm gonna try and find out if this thing can be solved in nautilus
2004-11-20T17:43:00.000Z,ogra,Matt|,dunno
2004-11-20T17:44:00.000Z,ogra,Matt|,"btw, see the mrburns website, there are the planned fetures listed"
2004-11-20T07:48:00.000Z,Matt|,ogra,3 am?
2004-11-22T15:53:00.000Z,ogra,Matt|,did you check /etc/resolv.conf ?
2004-11-22T15:53:00.000Z,Matt|,ogra,he can't ping ip address either apparently
2004-11-22T16:02:00.000Z,Matt|,ogra,nice one with the login
2004-11-22T16:03:00.000Z,ogra,Matt|,install xnest *G*
2004-11-22T16:03:00.000Z,ogra,Matt|,'New Login in Window'
2004-11-22T16:10:00.000Z,Matt|,ogra,earlier he pinged the router
2004-11-22T16:10:00.000Z,Matt|,ogra,router is working on his other pc
2004-11-22T16:52:00.000Z,Matt|,ogra,kudos
2004-11-23T17:44:00.000Z,ogra,Matt|,rm and ln :)
2004-11-23T17:44:00.000Z,Matt|,ogra,is there no better tool?
2004-11-23T17:45:00.000Z,ogra,Matt|,"i think its the best, so i never use update-rc.d"
2004-11-23T17:45:00.000Z,Matt|,ogra,"in hoary last week there was a lovely GUI 'services-admin' or something, but it's gone again now"
2004-11-23T17:45:00.000Z,ogra,Matt|,it will come back i think.....
2004-11-23T17:45:00.000Z,Matt|,ogra,was there something on the list about it?
2004-11-23T17:45:00.000Z,Matt|,ogra,i hope it comes back
2004-11-23T17:46:00.000Z,Matt|,ogra,"i'm trying to help a warty user to add a script to start his adsl modem at boot. If I don't succeed, will you help im out with me?"
2004-11-23T17:46:00.000Z,ogra,Matt|,"nope, but it belongs to the system tools, its just buggy .... i think they solve it till hoary gets stable"
2004-11-23T17:53:00.000Z,ogra,Matt|,add persist to /etc/ppp/options and make sure /etc/init.d/ppp start is run on startup....that should be enough
2004-11-23T17:53:00.000Z,Matt|,ogra,for what?
2004-11-23T17:53:00.000Z,ogra,Matt|,for your friend with the dsl modem
2004-11-23T17:54:00.000Z,Matt|,ogra,i assume the ppp script didn't work for him
2004-11-23T17:54:00.000Z,ogra,Matt|,configure with pppoeconf
2004-11-23T17:54:00.000Z,Matt|,ogra,spacey`ki i do not know
2004-11-23T17:55:00.000Z,ogra,Matt|,if its dsl its some kind of ppp....
2004-11-23T17:56:00.000Z,Matt|,ogra,the best ones
2004-11-23T17:56:00.000Z,ogra,Matt|,sometimes :)
2004-11-23T17:59:00.000Z,ogra,Matt|,try pppoeconf i think it manages all of them....
2004-11-23T17:59:00.000Z,Matt|,ogra,i've put my modem in the bottom of a draw
2004-11-23T17:59:00.000Z,ogra,Matt|,secret modem ?
2004-11-23T06:06:00.000Z,Matt|,ogra,you can't call a cable company ish
2004-11-23T06:06:00.000Z,ogra,Matt|,tell this to our PR group ;)
2004-11-23T06:06:00.000Z,Matt|,ogra,what does it mean in german?
2004-11-23T06:07:00.000Z,ogra,Matt|,nothing....not even a slang word
2004-11-23T06:07:00.000Z,ogra,Matt|,no
2004-11-23T06:08:00.000Z,ogra,Matt|,they had a american PR consulter.....
2004-11-23T06:08:00.000Z,Matt|,ogra,ouch
2004-11-23T06:08:00.000Z,ogra,Matt|,lol
2004-11-23T06:18:00.000Z,Matt|,ogra,i came across another person with this problem last week
2004-11-23T06:19:00.000Z,Matt|,ogra,howto is obviously wrong
2004-11-23T06:19:00.000Z,Matt|,ogra,see last line of howto
2004-11-23T06:22:00.000Z,ogra,Matt|,why.... its not upgradeable in a clean way to use non .deb kernels
2004-11-23T06:22:00.000Z,Matt|,ogra,if you're upgrading kernels there are new options so you need to recompile anyhow
2004-11-23T06:23:00.000Z,ogra,Matt|,you should always use make-kpkg ....
2004-11-23T06:25:00.000Z,Matt|,ogra,*winces*
2004-11-23T06:28:00.000Z,ogra,Matt|,xscreensaver
2004-11-23T06:28:00.000Z,ogra,Matt|,gnome-screenshot
2004-11-23T06:28:00.000Z,Matt|,ogra,haven't got it
2004-11-23T06:28:00.000Z,Matt|,ogra,it's been force removed ?!?
2004-11-23T06:29:00.000Z,ogra,Matt|,gnome-panel-screenshot sorry
2004-11-23T06:29:00.000Z,Matt|,ogra,np i haven't got that either
2004-11-23T06:30:00.000Z,ogra,Matt|,"hoary, hehe"
2004-11-23T06:30:00.000Z,Matt|,ogra,weird huh?
2004-11-25T06:44:00.000Z,ogra,Matt|,yeah !!
2004-11-25T06:44:00.000Z,Matt|,ogra,ATI
2004-11-25T06:45:00.000Z,Matt|,ogra,help me out with gdm?
2004-11-25T06:53:00.000Z,ogra,Matt|,send your xsession (pm)
2004-11-25T06:57:00.000Z,Matt|,ogra,you are running the bot?
2004-11-25T06:58:00.000Z,ogra,Matt|,wfx
2004-11-25T07:08:00.000Z,ogra,Matt|,try adding: killall nautilus behind icewm-session
2004-11-25T07:08:00.000Z,Matt|,ogra,but I want nautilus to run when I login!!!! that's the whole point
2004-11-25T07:09:00.000Z,ogra,Matt|,"they are run one after another, if icewm-session killall nautilus is run"
2004-11-25T07:12:00.000Z,ogra,Matt|,then try this line: icewm-session && killall nautilus
2004-11-25T07:15:00.000Z,ogra,Matt|,?
2004-11-25T07:15:00.000Z,ogra,Matt|,hmm
2004-11-25T07:16:00.000Z,ogra,Matt|,longer
2004-11-25T07:25:00.000Z,ogra,Matt|,not yet
2004-11-25T07:25:00.000Z,ogra,Matt|,wfx wants to implemet regex matching...
2004-11-25T07:28:00.000Z,Matt|,ogra,yeah but it is not working well yet. it should be testing elsewhere in my opinion
2004-11-28T17:55:00.000Z,ogra,Matt|,dma enabled ?
2004-12-02T13:26:00.000Z,ogra,Matt|,hey Matt|
2004-12-02T15:50:00.000Z,ogra,Matt|,below /etc/hotplug ?
2004-12-02T15:51:00.000Z,ogra,Matt|,for scripts on events i guess
2004-12-02T15:51:00.000Z,Matt|,ogra,thanks
2004-12-02T15:51:00.000Z,Matt|,ogra,"i'm pretty sure i don't need hotplug, except that my sound doesn't work without it :("
2004-12-02T15:51:00.000Z,Matt|,ogra,so i was thinking maybe just load the sound modules
2004-12-02T15:52:00.000Z,ogra,Matt|,i woudnt drop hotplug.....
2004-12-02T15:52:00.000Z,Matt|,ogra,that's what they all say
2004-12-02T15:52:00.000Z,ogra,Matt|,cares for a lot more than your sound..... look in /etc/hotplug.....
2004-12-02T15:52:00.000Z,Matt|,ogra,will do
2004-12-02T15:53:00.000Z,Matt|,ogra,but i haven't run it on the last boot and everything else with working
2004-12-02T15:54:00.000Z,ogra,Matt|,its your system ;) if you are fine without it.....but dont blame anybody about misfunction..... :)
2004-12-02T15:54:00.000Z,Matt|,ogra,i never blame people
2004-12-02T15:54:00.000Z,ogra,Matt|,true :)
2004-12-02T15:55:00.000Z,Matt|,ogra,"does hotplug run all the time, or just when it is called?"
2004-12-02T16:02:00.000Z,ogra,Matt|,"hmm, on my laptops this worked by default....."
2004-12-02T16:03:00.000Z,Matt|,ogra,not here :(
2004-12-02T16:03:00.000Z,ogra,Matt|,and this sony here has a very weird bios from 1999
2004-12-02T16:04:00.000Z,ogra,Matt|,thats true.... dell is still more worse......
2004-12-02T16:05:00.000Z,ogra,Matt|,but if the manufactuer sels a bad bios.....
2004-12-02T16:05:00.000Z,Matt|,ogra,*laughs*
2004-12-02T16:05:00.000Z,Matt|,ogra,it's not the manufacturer
2004-12-02T16:05:00.000Z,Matt|,ogra,its the ubuntu unfortunately
2004-12-06T13:16:00.000Z,ogra,Matt|,no autoagression here please
2004-12-06T16:14:00.000Z,ogra,Matt|,looks like it is relaying on the screenshot app
2004-12-06T16:14:00.000Z,Matt|,ogra,yeah maybe
2004-12-09T06:50:00.000Z,Matt|,ogra,you run hoary?
2004-12-09T06:51:00.000Z,ogra,Matt|,i got a box in the other room.....with hoary....
2004-12-09T06:51:00.000Z,Matt|,ogra,"i can't boot the new kernel, or the 2.6.9 test kernel. I think it must be a grub problem"
2004-12-09T06:52:00.000Z,ogra,Matt|,where does it hang ?
2004-12-09T06:53:00.000Z,Matt|,ogra,kernel panic straight away
2004-12-09T06:53:00.000Z,Matt|,ogra,"vfs error unable to mount on unknown block (0,0)"
2004-12-09T06:54:00.000Z,ogra,Matt|,"hmm, looks like you have the wrong disk in your grub line...."
2004-12-09T06:54:00.000Z,Matt|,ogra,i've checked it
2004-12-09T06:59:00.000Z,ogra,Matt|,you cant boot the old kernel either ?
2004-12-09T07:02:00.000Z,Matt|,ogra,yeah old kernel is fine
2004-12-09T07:03:00.000Z,ogra,Matt|,how do you boot your old kernel with that ?
2004-12-09T07:03:00.000Z,Matt|,ogra,sorry it didn't paste the whole thing its too long
2004-12-09T07:03:00.000Z,ogra,Matt|,only the last lines are interesting :)
2004-12-09T07:04:00.000Z,ogra,Matt|,or better listen to bob2
2004-12-09T07:05:00.000Z,ogra,Matt|,so its disabled
2004-12-09T07:05:00.000Z,ogra,Matt|,lines with a # in the beginning arent read
2004-12-09T07:05:00.000Z,Matt|,ogra,go figure
2004-12-09T10:08:00.000Z,ogra,Matt|,uninstall openoffice.org-debian-files perhaps ??
2004-12-09T10:08:00.000Z,Matt|,ogra,what will that remove?
2004-12-09T10:09:00.000Z,ogra,Matt|,dunno..... but then the error is gone....
2004-12-09T10:09:00.000Z,Matt|,ogra,have you used that solution? openoffice still works ok?
2004-12-09T10:11:00.000Z,ogra,Matt|,"nope, i havent, but i dont think it will break....."
2004-12-09T10:12:00.000Z,ogra,Matt|,you can always hit stop if it wantd to remove to much
2004-12-09T10:21:00.000Z,Matt|,ogra,all of the openoffice packages depend on the debian one
2004-12-09T10:21:00.000Z,ogra,Matt|,"hmm, bad"
2004-12-09T11:41:00.000Z,ogra,Matt|,i can....
2004-12-09T11:41:00.000Z,Matt|,ogra,where is it?
2004-12-09T11:42:00.000Z,ogra,Matt|,"hmm, multiverse (its not tagged) ?"
2004-12-09T11:45:00.000Z,Matt|,ogra,what is multiverse btw?
2004-12-09T11:46:00.000Z,ogra,Matt|,like debians non-free
2004-12-09T11:46:00.000Z,Matt|,ogra,there is nothing about it on that wiki page
2004-12-09T11:46:00.000Z,ogra,Matt|,https://www.ubuntulinux.org/support/documentation/faq/helpcenterfaq.2004-10-20.1228090247/
2004-12-09T11:47:00.000Z,Matt|,ogra,what is the address?
2004-12-09T11:47:00.000Z,ogra,Matt|,read it ;)
2004-12-09T11:48:00.000Z,Matt|,ogra,i dont follow ya
2004-12-09T11:49:00.000Z,ogra,Matt|,address part ?
2004-12-09T11:50:00.000Z,ogra,Matt|,just add it behind universe in your repos
2004-12-09T11:50:00.000Z,ogra,Matt|,space separated
2004-12-10T13:58:00.000Z,ogra,Matt|,do you need ooqs-kde ?
2004-12-10T14:00:00.000Z,Matt|,ogra,no i don't
2004-12-10T14:00:00.000Z,ogra,Matt|,cant get rid of it ?
2004-12-10T14:01:00.000Z,ogra,Matt|,as yesterday with the other dependency ?
2004-12-10T14:01:00.000Z,Matt|,ogra,not following ya
2004-12-10T14:01:00.000Z,ogra,Matt|,havent you had a similar ooo prob yesterday ?
2004-12-10T14:02:00.000Z,Matt|,ogra,today some new openoffice packages came out
2004-12-10T14:18:00.000Z,ogra,Matt|,not on my ubuntu
2004-12-10T14:27:00.000Z,ogra,Matt|,at least not on an unstable/dev system lol
2004-12-10T14:32:00.000Z,ogra,Matt|,one is gui the other is commandline ;)
2004-12-10T14:32:00.000Z,ogra,Matt|,yep ? is theer already a hoary-security ??
2004-12-10T16:20:00.000Z,Matt|,ogra,yep
2004-12-14T16:44:00.000Z,Matt|,ogra,:)
2004-12-11T06:24:00.000Z,ogra,Matt|,looks like a hoary bug
2004-12-11T06:25:00.000Z,Matt|,ogra,yeah? It's been like this for a while
2004-12-11T06:26:00.000Z,ogra,Matt|,probably preparation for xcompmgr ?
